step,coherence,energy,entropy,mass
0,0.999999,0.016950,6.914681,1.000000
1,0.996228,0.017833,6.914683,86.574552
2,0.999999,0.018602,6.914681,1.000000
3,0.996228,0.019468,6.914683,86.574552
4,0.999999,0.020221,6.914681,1.000000
5,0.996228,0.021072,6.914683,86.574552
6,0.999999,0.021809,6.914681,1.000000
7,0.996228,0.022643,6.914683,86.574552
8,0.999999,0.023364,6.914681,1.000000
9,0.996228,0.024183,6.914683,86.574552
10,0.999999,0.024889,6.914681,1.000000
11,0.996228,0.025693,6.914683,86.574552
12,0.999999,0.026383,6.914681,1.000000
13,0.996228,0.027172,6.914683,86.574552
14,0.999999,0.027847,6.914681,1.000000
15,0.996228,0.028622,6.914683,86.574552
16,0.999999,0.029282,6.914681,1.000000
17,0.996228,0.030044,6.914683,86.574552
18,0.999999,0.030689,6.914681,1.000000
19,0.996228,0.031437,6.914683,86.574552
20,0.999999,0.032068,6.914681,1.000000
21,0.996228,0.032802,6.914683,86.574552
22,0.999999,0.033419,6.914681,1.000000
23,0.996228,0.034140,6.914683,86.574552
24,0.999999,0.034744,6.914681,1.000000
25,0.996228,0.035451,6.914683,86.574552
26,0.999999,0.036042,6.914680,1.000000
27,0.996228,0.036736,6.914683,86.574552
28,0.999999,0.037314,6.914680,1.000000
29,0.996228,0.037996,6.914683,86.574552
30,0.999999,0.038561,6.914680,1.000000
31,0.996228,0.039231,6.914683,86.574552
32,0.999999,0.039783,6.914680,1.000000
33,0.996228,0.040441,6.914683,86.574552
34,0.999999,0.040981,6.914680,1.000000
35,0.996228,0.041627,6.914683,86.574552
36,0.999999,0.042155,6.914680,1.000000
37,0.996228,0.042789,6.914683,86.574552
38,0.999999,0.043305,6.914680,1.000000
39,0.996228,0.043928,6.914683,86.574552
40,0.999999,0.044433,6.914680,1.000000
41,0.996228,0.045045,6.914683,86.574552
42,0.999999,0.045538,6.914680,1.000000
43,0.996228,0.046139,6.914683,86.574552
44,0.999999,0.046621,6.914680,1.000000
45,0.996228,0.047212,6.914683,86.574552
46,0.999999,0.047683,6.914680,1.000000
47,0.996228,0.048263,6.914683,86.574552
48,0.999999,0.048723,6.914680,1.000000
49,0.996228,0.049293,6.914683,86.574552
50,0.999999,0.049743,6.914680,1.000000
51,0.996228,0.050303,6.914683,86.574552
52,0.999999,0.050743,6.914680,1.000000
53,0.996228,0.051293,6.914683,86.574552
54,0.999999,0.051722,6.914679,1.000000
55,0.996228,0.052263,6.914683,86.574552
56,0.999999,0.052683,6.914679,1.000000
57,0.996228,0.053213,6.914683,86.574552
58,0.999999,0.053624,6.914679,1.000000
59,0.996228,0.054145,6.914683,86.574552
60,0.999999,0.054546,6.914679,1.000000
61,0.996228,0.055058,6.914683,86.574552
62,0.999999,0.055450,6.914679,1.000000
63,0.996228,0.055953,6.914683,86.574552
64,0.999999,0.056336,6.914679,1.000000
65,0.996228,0.056831,6.914683,86.574552
66,0.999999,0.057204,6.914679,1.000000
67,0.996228,0.057690,6.914683,86.574552
68,0.999999,0.058055,6.914679,1.000000
69,0.996228,0.058533,6.914683,86.574552
70,0.999999,0.058889,6.914679,1.000000
71,0.996228,0.059359,6.914683,86.574552
72,0.999999,0.059707,6.914679,1.000000
73,0.996228,0.060168,6.914683,86.574552
74,0.999999,0.060508,6.914679,1.000000
75,0.996228,0.060962,6.914683,86.574552
76,0.999999,0.061293,6.914679,1.000000
77,0.996228,0.061739,6.914683,86.574552
78,0.999999,0.062063,6.914679,1.000000
79,0.996228,0.062501,6.914683,86.574552
80,0.999999,0.062817,6.914679,1.000000
81,0.996228,0.063248,6.914683,86.574552
82,0.999999,0.063557,6.914679,1.000000
83,0.996228,0.063980,6.914683,86.574552
84,0.999999,0.064281,6.914678,1.000000
85,0.996228,0.064698,6.914683,86.574552
86,0.999999,0.064992,6.914678,1.000000
87,0.996228,0.065401,6.914683,86.574552
88,0.999999,0.065688,6.914678,1.000000
89,0.996228,0.066090,6.914683,86.574552
90,0.999999,0.066370,6.914678,1.000000
91,0.996228,0.066766,6.914683,86.574552
92,0.999999,0.067038,6.914678,1.000000
93,0.996228,0.067428,6.914683,86.574552
94,0.999999,0.067694,6.914678,1.000000
95,0.996228,0.068077,6.914683,86.574552
96,0.999999,0.068336,6.914678,1.000000
97,0.996228,0.068713,6.914683,86.574552
98,0.999999,0.068966,6.914678,1.000000
99,0.996228,0.069336,6.914683,86.574552
