step,energy,entropy,control_cost,total_cost
0,55.185603,7.216393,30.484994,56.212092
1,36.136742,7.229010,19.866817,37.058311
2,24.774800,7.233244,13.009227,25.628217
3,16.956945,7.214294,8.918928,17.767564
4,12.108734,7.189711,6.104500,12.888750
5,8.939468,7.136122,4.359144,9.696671
6,6.705221,7.076251,3.218208,7.445028
7,5.268819,7.037767,2.413879,5.996734
8,4.584075,6.992468,1.896775,5.302290
9,3.873666,6.937908,1.650267,4.583959
10,3.334557,6.905219,1.394520,4.039024
11,3.132307,6.851674,1.200441,3.829479
12,2.754325,6.833789,1.127631,3.448981
13,2.637329,6.781660,0.991557,3.325410
14,2.528425,6.787604,0.949438,3.216680
15,2.618215,6.799514,0.910233,3.307269
16,2.649340,6.805554,0.942558,3.339321
17,2.598951,6.814648,0.953763,3.289954
18,2.467780,6.808038,0.935622,3.157940
19,2.475548,6.752155,0.888401,3.159647
20,2.553444,6.729309,0.891197,3.235287
21,2.560987,6.754600,0.919240,3.245639
22,2.441562,6.740365,0.921955,3.124818
23,2.415139,6.757067,0.878962,3.099636
24,2.322457,6.767766,0.869450,3.007928
25,2.472979,6.733375,0.836085,3.154678
26,2.551241,6.776286,0.890273,3.237773
27,2.507487,6.785204,0.918447,3.195192
28,2.448890,6.779799,0.902695,3.135897
29,2.451151,6.781366,0.881600,3.138104
30,2.520883,6.798706,0.882415,3.209578
31,2.462680,6.792749,0.907518,3.151030
32,2.384076,6.767941,0.886565,3.069736
33,2.451551,6.778149,0.858267,3.137948
34,2.516796,6.777380,0.882558,3.203359
35,2.412358,6.733805,0.906046,3.094799
36,2.325175,6.722508,0.868449,3.006110
37,2.344796,6.746603,0.837063,3.027827
38,2.384272,6.724445,0.844127,3.065158
39,2.442701,6.771914,0.858338,3.128476
40,2.482950,6.789879,0.879372,3.170731
41,2.592143,6.804776,0.893862,3.281559
42,2.701537,6.766056,0.933171,3.387474
43,2.652601,6.784996,0.972553,3.340826
44,2.529098,6.784399,0.954936,3.217087
45,2.560828,6.767299,0.910475,3.246663
46,2.612399,6.816020,0.921898,3.303220
47,2.456285,6.763948,0.940464,3.142084
48,2.470437,6.760096,0.884263,3.155289
49,2.463005,6.763374,0.889357,3.148236
50,2.448783,6.796876,0.886682,3.137337
51,2.509072,6.774775,0.881562,3.195365
52,2.569595,6.780204,0.903266,3.256648
53,2.540954,6.766299,0.925054,3.226834
54,2.543134,6.772954,0.914743,3.229577
55,2.559067,6.803926,0.915528,3.248615
56,2.533441,6.809337,0.921264,3.223587
57,2.669931,6.795647,0.912039,3.358616
58,2.480324,6.792500,0.961175,3.169185
59,2.515570,6.776249,0.892916,3.202124
60,2.485459,6.774513,0.905605,3.171966
61,2.555092,6.767785,0.894765,3.240818
62,2.474597,6.772300,0.919833,3.161025
63,2.489956,6.774664,0.890855,3.176331
64,2.567140,6.778513,0.896384,3.253955
65,2.540133,6.768755,0.924170,3.226250
66,2.557760,6.781325,0.914448,3.245037
67,2.541393,6.776217,0.920794,3.228223
68,2.552670,6.802999,0.914901,3.242119
69,2.574106,6.779957,0.918961,3.261291
70,2.546591,6.792906,0.926678,3.235148
71,2.477551,6.809581,0.916773,3.167677
72,2.497703,6.770870,0.891918,3.183709
73,2.317902,6.755854,0.899173,3.002479
74,2.422834,6.783637,0.834445,3.109542
75,2.507893,6.804474,0.872220,3.197062
76,2.493568,6.768443,0.902841,3.179441
77,2.397829,6.745020,0.897684,3.081308
78,2.450833,6.754171,0.863218,3.134882
79,2.379992,6.782523,0.882300,3.067067
