step,energy,stability_metric,lyapunov
0,438.084150,0.986538,174.368644
1,422.798001,0.986699,177.239143
2,409.943552,0.986807,180.672411
3,399.256127,0.986861,184.700867
4,390.547466,0.986870,189.264245
5,384.059132,0.986818,194.449866
6,379.251291,0.986721,200.224075
7,375.971464,0.986575,206.565710
8,374.634583,0.986369,213.557960
9,374.520807,0.986125,221.171142
10,375.739069,0.985827,229.472848
11,378.173098,0.985487,238.430741
12,381.960747,0.985095,248.089405
13,387.168388,0.984656,258.442763
14,393.595044,0.984166,269.539679
15,401.273314,0.983619,281.413382
16,410.041724,0.983017,294.095971
17,419.948632,0.982364,307.553847
18,431.067153,0.981661,321.882208
19,443.312337,0.980902,337.088549
20,456.836624,0.980075,353.285462
21,471.555660,0.979189,370.437699
22,487.479515,0.978245,388.581898
23,504.500403,0.977243,407.723117
24,522.978276,0.976161,428.093713
25,542.769311,0.975007,449.512938
26,563.720819,0.973781,472.124839
27,585.932503,0.972473,496.040747
28,609.702322,0.971085,521.217403
29,634.790459,0.969614,547.686103
30,661.487999,0.968053,575.589469
31,689.667987,0.966400,604.964468
32,719.198602,0.964681,635.654875
33,750.485946,0.962839,668.057887
34,783.511718,0.960900,702.086664
35,818.036451,0.958869,737.607605
36,854.040398,0.956752,774.687238
37,891.621131,0.954553,813.302672
38,930.622497,0.952275,853.439412
39,971.093749,0.949924,895.188107
40,1012.891480,0.947541,938.241705
41,1055.949133,0.945099,982.596983
42,1100.380528,0.942605,1028.355782
43,1145.012645,0.940175,1074.590927
44,1189.631423,0.937820,1121.199648
45,1234.553239,0.935517,1168.069470
46,1279.608032,0.933283,1215.161942
47,1323.711399,0.931215,1261.481188
48,1367.002228,0.929297,1307.000506
49,1408.967226,0.927547,1351.398900
50,1450.342960,0.925905,1394.987290
51,1490.666193,0.924380,1437.648052
52,1530.738288,0.922891,1479.912468
53,1570.355463,0.921444,1521.679103
54,1608.581288,0.920121,1561.995010
55,1645.311911,0.918923,1600.566061
56,1680.348677,0.917857,1637.294626
57,1712.901128,0.916913,1671.785757
58,1743.908892,0.916057,1704.581670
59,1773.013982,0.915289,1735.450561
60,1801.008463,0.914560,1764.744138
61,1827.699765,0.913849,1792.545082
62,1853.669692,0.913162,1819.221187
63,1877.382346,0.912551,1843.530399
64,1899.230120,0.912002,1865.711703
65,1919.404121,0.911493,1886.056542
66,1937.166810,0.911053,1904.088105
67,1953.119922,0.910671,1920.383357
68,1967.765452,0.910293,1935.210737
69,1981.887028,0.909882,1949.271295
70,1995.160366,0.909454,1962.456181
71,2007.568859,0.909015,1974.800759
72,2019.779159,0.908517,1986.609005
73,2030.764653,0.908027,1997.181284
74,2040.741842,0.907539,2006.601547
75,2049.947799,0.907056,2015.098126
76,2058.315076,0.906574,2022.567632
77,2065.927728,0.906092,2029.244199
78,2072.538829,0.905642,2034.850237
79,2078.200721,0.905182,2039.422786
80,2083.086240,0.904754,2043.099777
81,2087.347506,0.904312,2046.232263
82,2091.009476,0.903876,2048.741997
83,2094.237330,0.903432,2050.861233
84,2097.327323,0.902974,2052.820162
85,2100.445253,0.902473,2054.811159
86,2103.195368,0.901943,2056.614844
87,2105.766038,0.901402,2058.377968
88,2108.234506,0.900845,2060.104936
89,2110.496686,0.900245,2061.716449
90,2112.401000,0.899643,2063.071071
91,2114.031833,0.899033,2064.325456
92,2115.626700,0.898434,2065.498527
93,2116.805180,0.897809,2066.243722
94,2117.499852,0.897181,2066.664224
95,2118.031736,0.896561,2066.908528
96,2118.150455,0.895929,2066.818336
97,2118.034479,0.895268,2066.471173
98,2117.724691,0.894614,2065.929523
99,2117.561117,0.893935,2065.376913
