step,coherence,entropy,energy
0,0.990320,6.870540,0.764054
1,0.990321,6.870616,0.763793
2,0.990323,6.870693,0.763529
3,0.990324,6.870770,0.763264
4,0.990326,6.870848,0.762998
5,0.990328,6.870927,0.762729
6,0.990329,6.871006,0.762459
7,0.990331,6.871086,0.762186
8,0.990333,6.871166,0.761912
9,0.990334,6.871247,0.761637
10,0.990336,6.871328,0.761359
11,0.990338,6.871410,0.761080
12,0.990339,6.871493,0.760800
13,0.990341,6.871576,0.760517
14,0.990343,6.871660,0.760233
15,0.990345,6.871744,0.759947
16,0.990347,6.871829,0.759660
17,0.990348,6.871915,0.759371
18,0.990350,6.872001,0.759080
19,0.990352,6.872087,0.758788
20,0.990354,6.872175,0.758494
21,0.990356,6.872262,0.758199
22,0.990357,6.872351,0.757902
23,0.990359,6.872439,0.757604
24,0.990361,6.872529,0.757304
25,0.990363,6.872619,0.757003
26,0.990365,6.872709,0.756700
27,0.990367,6.872800,0.756395
28,0.990369,6.872892,0.756089
29,0.990371,6.872984,0.755782
30,0.990372,6.873077,0.755473
31,0.990374,6.873170,0.755163
32,0.990376,6.873263,0.754852
33,0.990378,6.873358,0.754539
34,0.990380,6.873452,0.754224
35,0.990382,6.873548,0.753909
36,0.990384,6.873643,0.753592
37,0.990386,6.873740,0.753273
38,0.990388,6.873837,0.752954
39,0.990390,6.873934,0.752633
40,0.990392,6.874032,0.752310
41,0.990394,6.874130,0.751987
42,0.990396,6.874229,0.751662
43,0.990398,6.874328,0.751336
44,0.990400,6.874428,0.751008
45,0.990403,6.874529,0.750680
46,0.990405,6.874629,0.750350
47,0.990407,6.874731,0.750019
48,0.990409,6.874833,0.749687
49,0.990411,6.874935,0.749353
50,0.990413,6.875038,0.749019
51,0.990415,6.875141,0.748683
52,0.990417,6.875245,0.748346
53,0.990419,6.875349,0.748008
54,0.990422,6.875454,0.747669
55,0.990424,6.875559,0.747329
56,0.990426,6.875665,0.746988
57,0.990428,6.875771,0.746645
58,0.990430,6.875877,0.746302
59,0.990433,6.875984,0.745957
60,0.990435,6.876092,0.745612
61,0.990437,6.876200,0.745265
62,0.990439,6.876308,0.744918
63,0.990441,6.876417,0.744569
64,0.990444,6.876527,0.744220
65,0.990446,6.876636,0.743869
66,0.990448,6.876747,0.743518
67,0.990451,6.876857,0.743165
68,0.990453,6.876969,0.742812
69,0.990455,6.877080,0.742458
70,0.990457,6.877192,0.742102
71,0.990460,6.877305,0.741746
72,0.990462,6.877418,0.741389
73,0.990464,6.877531,0.741031
74,0.990467,6.877645,0.740673
75,0.990469,6.877759,0.740313
76,0.990471,6.877873,0.739952
77,0.990474,6.877988,0.739591
78,0.990476,6.878104,0.739229
79,0.990478,6.878220,0.738866
80,0.990481,6.878336,0.738502
81,0.990483,6.878453,0.738138
82,0.990486,6.878570,0.737773
83,0.990488,6.878687,0.737407
84,0.990490,6.878805,0.737040
85,0.990493,6.878924,0.736672
86,0.990495,6.879042,0.736304
87,0.990498,6.879162,0.735935
88,0.990500,6.879281,0.735565
89,0.990502,6.879401,0.735195
90,0.990505,6.879521,0.734824
91,0.990507,6.879642,0.734452
92,0.990510,6.879763,0.734080
93,0.990512,6.879885,0.733706
94,0.990515,6.880007,0.733333
95,0.990517,6.880129,0.732958
96,0.990520,6.880252,0.732583
97,0.990522,6.880375,0.732208
98,0.990525,6.880498,0.731831
99,0.990527,6.880622,0.731455
